CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn,Delivery_Charges
32501,26,Male,Chengdu,Gold,3,10.12,Clothing,2023/12/14 3:47,Unemployed,22,1,6.5
82064,63,Female,Qingdao,Silver,6,357.89,Home Goods,2023/1/11 16:50,Unemployed,27,0,6.5
82343,,Female,Zhengzhou,Platinum,6,1491.18,Clothing,2023/5/7 15:53,Student,25,0,6.5
70113,40,Male,Dalian,Bronze,3,982.39,Electronics,2023/3/20 16:12,Unemployed,20,1,6.5
95248,36,Male,Quanzhou,Bronze,6,2495.02,Clothing,2023/12/16 7:05,Student,29,0,6.5
63867,67,Male,Urumqi,Platinum,2,443.3,Electronics,2023/5/11 8:50,Professional,23,0,6.5
48640,64,Male,Changchun,Silver,3,1123.07,Home Goods,2023/10/7 16:35,Professional,2,0,6.5
35766,33,Male,Shanghai,Gold,6,639.6,Home Goods,2023/10/25 17:03,Retired,8,0,6.5
11870,27,Male,Fuzhou,Gold,3,1344.82,Electronics,2023/7/27 20:08,Unemployed,13,0,6.5
47594,43,Male,Hefei,Platinum,4,564.76,Electronics,2023/9/19 0:32,Retired,9,0,6.5
97807,66,Female,Changsha,Silver,5,822.78,Clothing,2023/6/16 21:56,Unemployed,27,1,6.5
10190,31,Male,Guangzhou,Silver,8,521.83,Clothing,2023/4/16 9:34,Professional,23,0,6.5
18641,45,Male,Beijing,Silver,5,1018.49,Electronics,2023/8/13 14:19,Retired,12,0,6.5
59327,30,Female,Nanjing,Platinum,9,606.66,Clothing,2023/7/31 16:41,Self-Employed,10,1,6.5
49192,60,Female,Shanghai,Bronze,3,183.14,Home Goods,2023/12/2 3:32,Professional,28,0,6.5
43945,43,Male,Shenzhen,Silver,4,181.34,Home Goods,2023/10/10 8:01,Retired,26,0,6.5
79790,19,Female,Jinan,Silver,9,372,Electronics,2023/10/12 2:14,Self-Employed,7,0,6.5
54541,45,Female,Changsha,Bronze,6,835.89,Clothing,2023/2/10 3:12,Student,23,0,6.5
87207,40,Female,Taiyuan,Bronze,4,1570.08,Clothing,2023/4/30 20:33,Professional,26,0,6.5
79849,43,Female,Guangzhou,Silver,6,2433.39,Clothing,2023/10/5 11:59,Professional,29,0,6.5
36572,69,Female,Dalian,Silver,4,47.82,Electronics,2023/9/23 20:16,Self-Employed,4,0,6.5
83194,19,Female,Qingdao,Platinum,1,145.99,Clothing,2023/8/11 16:04,Professional,16,1,6.5
63482,19,Male,Shijiazhuang,Silver,3,100.39,Home Goods,2023/10/30 0:50,Student,8,0,6.5
30892,29,Male,Tianjin,Platinum,2,3686.41,Clothing,2023/10/11 12:45,Student,14,1,6.5
33857,59,Male,Guangzhou,Gold,5,3700.05,Home Goods,2023/4/29 18:21,Student,12,0,8.7
86071,52,Male,Shijiazhuang,Gold,8,61.16,Home Goods,2023/1/1 0:55,Self-Employed,12,1,8.7
28759,41,Male,Shijiazhuang,Bronze,9,2777.89,Electronics,2023/4/30 11:01,Self-Employed,29,1,6.5
35901,18,Male,Shanghai,Gold,5,493.39,Electronics,2023/2/14 12:08,Self-Employed,27,0,6.5
63901,64,Female,Nanjing,Gold,6,780.8,Clothing,2023/10/19 3:36,Retired,9,0,6.5
85681,,nan,Nanchang,Bronze,6,1884.21,Electronics,2023/4/2 20:46,Unemployed,9,0,6.5
81402,31,Male,Xi'an,Gold,5,1049.45,Clothing,2023/6/2 13:29,Student,10,1,6.5
75538,32,Male,Wuhan,Gold,6,110.47,Electronics,2023/8/6 20:25,Professional,23,0,6.5
17328,32,Male,Qingdao,Silver,5,387.19,Clothing,2023/5/30 15:43,Retired,9,0,6.5
41770,43,Female,Changchun,Gold,3,677.19,Clothing,2023/7/3 8:49,Self-Employed,18,1,8.7
36756,22,Female,Guangzhou,Gold,10,541.73,Electronics,2023/11/1 12:41,Student,6,0,8.7
60927,64,Female,Harbin,Bronze,8,2474.9,Electronics,2023/8/25 5:26,Self-Employed,3,0,6.5
40035,35,Female,Shanghai,Platinum,1,2836.46,Home Goods,2023/11/9 0:06,Professional,13,0,6.5
72603,44,Male,Jinan,Bronze,6,2740.6,Electronics,2023/12/12 17:24,Retired,3,0,6.5
10879,33,Male,Quanzhou,Silver,4,206.12,Electronics,2023/5/21 9:48,Self-Employed,11,1,6.5
97360,68,Male,Kunming,Platinum,11,313.89,Clothing,2023/2/8 18:19,Student,2,0,6.5
77567,42,Female,Xiamen,Silver,5,178.77,Electronics,2023/9/27 10:31,Retired,1,0,6.5
25789,54,Male,Kunming,Platinum,6,542.34,Home Goods,2023/4/15 0:15,Self-Employed,17,1,6.5
65611,18,Female,Chongqing,Bronze,9,162.13,Clothing,2023/3/24 23:34,Unemployed,16,0,6.5
80443,58,Male,Tianjin,Silver,6,145.46,Clothing,2023/4/15 19:53,Professional,18,1,8.7
71370,50,Male,Tianjin,Bronze,6,1578.84,Electronics,2023/10/30 23:03,Retired,5,1,8.7
34235,22,Female,Dalian,Platinum,2,693.59,Clothing,2023/10/10 10:00,Retired,2,1,6.5
92281,53,Male,Shijiazhuang,Gold,6,3330.12,Electronics,2023/2/23 7:13,Self-Employed,23,0,6.5
49196,38,Female,Qingdao,Silver,1,132.57,Home Goods,2023/9/17 1:06,Retired,1,0,6.5
18249,32,Female,Shanghai,Bronze,4,876.42,Electronics,2023/7/8 16:34,Self-Employed,26,0,6.5
56154,47,Male,Harbin,Gold,2,367.02,Clothing,2023/1/2 10:02,Professional,19,0,6.5
84346,44,Male,Kunming,Bronze,5,885.71,Clothing,2023/8/8 1:19,Student,26,0,6.5
61708,53,Female,Qingdao,Bronze,5,315.27,Clothing,2023/3/23 17:23,Student,4,1,6.5
50555,33,Female,Beijing,Bronze,8,302.55,Home Goods,2023/3/3 16:41,Student,26,0,6.5
84439,47,Male,Shenzhen,Gold,3,330.65,Home Goods,2023/8/8 15:04,Student,5,0,6.5
48704,24,Male,Hefei,Platinum,7,1909.58,Electronics,2023/7/12 23:22,Self-Employed,27,1,6.5
76632,55,Female,Kunming,Platinum,5,3277.81,Electronics,2023/10/20 12:07,Student,1,0,20
53228,45,Female,Guangzhou,Silver,4,75.43,Electronics,2023/7/26 2:14,Retired,16,1,20
36950,48,Female,Tianjin,Bronze,7,30.18,Electronics,2023/11/21 1:27,Student,6,0,20
65072,24,Male,Xi'an,Platinum,5,2574.23,Home Goods,2023/3/6 11:55,Unemployed,9,0,20
59176,39,Male,Shenyang,Bronze,3,1643.89,Home Goods,2023/6/23 7:12,Self-Employed,26,0,6.5
54880,56,Female,Taiyuan,Silver,7,136.8,Clothing,2023/1/19 15:00,Retired,16,0,6.5
41246,45,Female,Nanchang,Platinum,7,942.43,Electronics,2023/5/14 14:55,Unemployed,25,1,6.5
95382,28,Female,Wuxi,Silver,6,520.93,Clothing,2023/3/20 2:14,Professional,10,0,6.5
71454,27,Female,Shenyang,Platinum,4,1475.7,Home Goods,2023/10/12 9:36,Retired,22,0,6.5
16703,50,Male,Shenyang,Platinum,7,405.32,Home Goods,2023/9/28 8:11,Retired,23,0,6.5
49115,68,Male,Beijing,Silver,7,1398.87,Home Goods,2023/10/27 19:32,Professional,12,0,6.5
79971,41,Male,Kunming,Silver,2,1943.4,Clothing,2023/12/15 20:06,Retired,2,0,6.5
26781,32,Male,Quanzhou,Platinum,6,3147.8,Clothing,2023/8/16 3:37,Retired,27,0,6.5
38551,65,Female,Shanghai,Gold,7,1210.38,Electronics,2023/9/20 22:01,Professional,9,0,6.5
75812,39,Male,Kunming,Gold,6,567.68,Home Goods,2023/2/10 19:57,Retired,14,1,6.5
21234,56,Female,Shenzhen,Silver,2,1748.82,Home Goods,2023/6/19 17:03,Professional,18,1,6.5
28774,28,Female,Qingdao,Silver,4,282.61,Clothing,2023/11/14 8:55,Professional,20,0,6.5
73609,,Male,Shenzhen,Bronze,8,118.99,Home Goods,2023/10/28 4:31,Self-Employed,24,0,6.5
26814,68,Female,Nanchang,Platinum,6,2053.08,Electronics,2023/2/16 16:59,Self-Employed,22,0,6.5
91821,36,Male,Taiyuan,Platinum,6,1081.52,Home Goods,2023/9/3 18:28,Self-Employed,21,0,6.5
82235,63,Male,Shijiazhuang,Bronze,8,3476.49,Clothing,2023/1/21 15:15,Student,21,0,6.5
22708,49,Male,Chongqing,Gold,3,456.46,Electronics,2023/9/28 4:00,Unemployed,26,0,6.5
56097,57,Male,Zhengzhou,Bronze,6,84.3,Clothing,2023/11/17 15:18,Self-Employed,27,0,6.5
57057,65,Male,Nanchang,Platinum,4,1170.77,Electronics,2023/1/24 15:32,Unemployed,27,0,6.5
80039,24,Female,Xi'an,Bronze,2,1254.45,Electronics,2023/10/1 21:21,Student,1,1,6.5
29600,27,Female,Kunming,Silver,1,1121.88,Clothing,2023/4/30 12:38,Unemployed,2,0,6.5
89518,27,Female,Quanzhou,Bronze,6,843.89,Clothing,2023/6/17 17:52,Professional,13,1,6.5
98945,35,Male,Zhengzhou,Platinum,4,1138.14,Clothing,2023/2/15 7:41,Unemployed,17,0,6.5
11933,35,Female,Changsha,Silver,4,70.16,Electronics,2023/11/20 2:42,Unemployed,27,1,6.5
20561,21,Male,Xi'an,Gold,3,648.8,Home Goods,2023/1/4 22:53,Professional,8,0,6.5
60910,58,Male,Chengdu,Platinum,6,2837.04,Home Goods,2023/12/31 8:44,Self-Employed,29,0,6.5
41128,66,Female,Hangzhou,Bronze,3,637.07,Electronics,2023/7/10 19:17,Student,8,1,6.5
81410,60,Female,Changsha,Silver,9,1833.94,Clothing,2023/11/6 0:36,Student,19,0,6.5
40430,19,Male,Nanchang,Bronze,5,203.79,Home Goods,2023/8/19 9:25,Professional,17,0,6.5
25894,24,Female,Fuzhou,Platinum,6,577.35,Electronics,2023/6/20 3:27,Student,11,0,6.5
77590,21,Female,Jinan,Platinum,3,1989.37,Electronics,2023/8/21 18:41,Professional,13,1,6.5
13609,26,Male,Changsha,Gold,3,1653.77,Electronics,2023/9/4 9:55,Professional,6,0,6.5
98905,68,Female,Shijiazhuang,Silver,6,509.19,Clothing,2023/6/2 14:54,Retired,11,0,6.5
25305,55,Female,Chengdu,Platinum,5,523.11,Clothing,2023/9/13 18:35,Retired,26,0,6.5
23524,18,Female,Qingdao,Platinum,5,208.93,Home Goods,2023/7/18 12:33,Unemployed,5,0,6.5
24554,52,Male,Xi'an,Bronze,3,961.82,Electronics,2023/2/18 1:19,Professional,14,1,6.5
97047,38,Female,Hefei,Gold,10,658.4,Clothing,2023/1/8 8:16,Unemployed,6,1,6.5
52033,64,Male,Harbin,Gold,6,134.98,Clothing,2023/2/26 8:59,Retired,17,0,6.5
37256,68,Male,Quanzhou,Silver,7,420.48,Clothing,2023/11/8 23:08,Self-Employed,26,0,6.5
20134,55,Female,Hangzhou,Silver,9,591.52,Clothing,2023/8/2 7:31,Student,19,1,6.5
24257,20,Female,Quanzhou,Silver,4,329.42,Clothing,2023/10/11 5:02,Unemployed,19,0,6.5
91838,31,Male,Shenzhen,Bronze,3,75.84,Clothing,2023/10/19 0:42,Professional,7,1,6.5
24485,54,Female,Hefei,Bronze,7,111.41,Clothing,2023/11/13 13:49,Retired,22,0,6.5
62772,24,Male,Hefei,Bronze,7,103.92,Home Goods,2023/5/17 7:11,Self-Employed,19,0,6.5
97253,52,Male,Dalian,Bronze,6,1110.51,Home Goods,2023/11/27 17:28,Retired,14,0,6.5
70291,50,Male,Quanzhou,Silver,1,1377.99,Home Goods,2023/7/30 3:45,Professional,21,0,6.5
94434,61,Female,Hangzhou,Silver,10,773.52,Electronics,2023/1/17 11:35,Self-Employed,2,0,6.5
98058,47,Female,Tianjin,Platinum,6,366.84,Home Goods,2023/8/23 22:19,Retired,5,0,6.5
82971,65,Female,Dalian,Gold,3,641.01,Electronics,2023/1/17 19:30,Student,20,0,6.5
86844,61,Female,Chengdu,Bronze,2,1115.5,Home Goods,2023/11/16 10:31,Student,2,0,6.5
17911,26,Female,Shenyang,Bronze,8,1194.74,Home Goods,2023/4/11 13:27,Professional,19,0,6.5
20624,57,Male,Xiamen,Silver,3,90.02,Home Goods,2023/6/9 13:16,Retired,4,1,6.5
22981,32,Female,Taiyuan,Platinum,4,65.57,Clothing,2023/11/8 17:18,Professional,12,1,6.5
19254,30,Female,Kunming,Silver,4,988.45,Clothing,2023/10/3 16:16,Retired,2,0,6.5
43712,23,Female,Wuhan,Gold,3,358.69,Electronics,2023/10/6 22:56,Self-Employed,6,1,6.5
62705,59,Female,Changsha,Bronze,5,399.25,Clothing,2023/12/9 17:47,Student,10,1,6.5
98722,24,Female,Urumqi,Silver,6,364.29,Clothing,2023/2/2 10:55,Professional,6,0,6.5
16866,51,Male,Hefei,Platinum,6,98.83,Home Goods,2023/11/25 1:47,Unemployed,11,0,6.5
87838,41,Male,Dalian,Gold,7,504.73,Home Goods,2023/6/4 21:43,Unemployed,3,0,6.5
28568,51,Male,Kunming,Platinum,6,22.77,Clothing,2023/2/10 6:31,Student,22,0,6.5
89322,33,Male,Shenzhen,Platinum,6,326.93,Clothing,2023/1/7 12:23,Self-Employed,17,0,6.5
97393,23,Female,Taiyuan,Bronze,5,1468.47,Clothing,2023/1/16 16:20,Unemployed,24,0,6.5
22070,38,Male,Wuhan,Bronze,6,271.92,Electronics,2023/1/28 10:52,Unemployed,3,1,6.5
89014,56,Female,Hangzhou,Silver,5,2141.93,Electronics,2023/8/20 19:10,Professional,15,0,6.5
22511,19,Female,Changchun,Gold,10,801.38,Home Goods,2023/11/27 19:23,Student,29,0,17.96
70438,63,Female,Dalian,Silver,7,1835.37,Clothing,2023/1/10 18:01,Unemployed,3,0,17.96
67515,56,Male,Dalian,Silver,6,983.8,Clothing,2023/10/29 16:31,Student,18,0,17.96
95825,36,Female,Tianjin,Platinum,3,3468.62,Clothing,2023/1/6 7:39,Self-Employed,22,0,17.96
94558,59,Male,Shanghai,Gold,8,443.88,Clothing,2023/7/24 19:21,Professional,6,1,17.96
80857,52,Female,Fuzhou,Gold,4,2349.51,Clothing,2023/3/12 16:37,Student,23,1,6.5
56920,44,Male,Nanchang,Gold,5,680.76,Electronics,2023/3/15 19:13,Retired,19,0,6.5
83646,27,Male,Changchun,Platinum,6,419.88,Home Goods,2023/8/11 21:07,Retired,3,0,6.5
17048,52,Female,Wuhan,Bronze,6,354.32,Electronics,2023/3/24 22:22,Unemployed,9,0,6.5
85703,60,Female,Hangzhou,Gold,7,205.94,Home Goods,2023/7/25 1:30,Self-Employed,13,1,6.5
18994,29,Female,Shanghai,Platinum,7,99.48,Clothing,2023/1/6 8:53,Self-Employed,29,1,6.5
57001,26,Male,Zhengzhou,Platinum,4,2783.96,Home Goods,2023/6/25 13:49,Professional,9,0,6.5
43948,31,Female,Xi'an,Bronze,7,245.28,Home Goods,2023/9/14 9:57,Professional,23,0,6.5
85812,45,Male,Nanchang,Platinum,4,335.46,Home Goods,2023/2/6 7:35,Unemployed,25,0,6.5
95085,50,Female,Harbin,Silver,4,1095.14,Clothing,2023/9/18 4:03,Unemployed,28,1,6.5
81139,,Male,Quanzhou,Gold,10,1830.96,Electronics,2023/6/30 4:43,Student,28,1,6.5
23849,48,Female,Kunming,Gold,6,104.39,Electronics,2023/3/29 5:19,Self-Employed,17,1,6.5
85794,18,Female,Wuhan,Silver,6,2386.01,Home Goods,2023/3/5 11:59,Self-Employed,25,1,6.5
22139,57,Male,Hangzhou,Bronze,3,38.2,Clothing,2023/7/12 3:13,Unemployed,3,1,6.5
68426,48,Female,Quanzhou,Platinum,8,450.81,Home Goods,2023/10/9 21:04,Self-Employed,12,0,6.5
76986,37,Female,Xi'an,Platinum,3,525.08,Clothing,2023/1/12 5:19,Self-Employed,23,0,6.5
78435,31,Female,Wuhan,Silver,7,233.21,Clothing,2023/4/1 4:04,Unemployed,10,1,6.5
10954,26,Male,Nanchang,Bronze,7,155.21,Home Goods,2023/10/4 7:33,Retired,27,1,6.5
22779,64,Female,Wuhan,Bronze,2,1884.32,Electronics,2023/4/29 16:24,Retired,21,0,6.5
20272,27,Female,Jinan,Platinum,4,353.91,Electronics,2023/9/19 0:12,Student,5,0,6.5
46452,21,Male,Kunming,Gold,10,607.81,Home Goods,2023/9/13 8:27,Professional,4,0,6.5
